x(1) = 0.5    y(1) = 10375.0000
x(2) = 1.0    y(2) = 10764.0625
x(3) = 1.5    y(3) = 11167.7148
x(4) = 2.0    y(4) = 11586.5042
x(5) = 2.5    y(5) = 12020.9981
x(6) = 3.0    y(6) = 12471.7855
x(7) = 3.5    y(7) = 12939.4774
x(8) = 4.0    y(8) = 13424.7078
x(9) = 4.5    y(9) = 13928.1344
x(10) = 5.0    y(10) = 14450.4394
x(11) = 5.5    y(11) = 14992.3309
x(12) = 6.0    y(12) = 15554.5433
x(13) = 6.5    y(13) = 16137.8387
x(14) = 7.0    y(14) = 16743.0076
x(15) = 7.5    y(15) = 17370.8704
x(16) = 8.0    y(16) = 18022.2781
x(17) = 8.5    y(17) = 18698.1135
x(18) = 9.0    y(18) = 19399.2927
x(19) = 9.5    y(19) = 20126.7662
x(20) = 10.0    y(20) = 20881.5200
